Loc,Item Number,Plant Category,Plant Name
GA,06598UT,PRN,SEMPERVIVUM HARDY MIX
GA,06561UT,PRN,SEMPERVIVUM KREBS DES ROSE
GA,06563UT,PRN,SEMPERVIVUM RED RUBIN
OR,71051,EVS,SKIMMIA JAPONICA-FEMALE
OR,71052,EVS,SKIMMIA JAPONICA-FEMALE
OR,71061,EVS,SKIMMIA JAPONICA-MALE
OR,71062,EVS,SKIMMIA JAPONICA-MALE
OR,71081,EVS,SKIMMIA REEVESIANA
OR,71082,EVS,SKIMMIA REEVESIANA
CT,075013S,DCS,SPIRAEA DBLPLAY R ARTIST PPAF
CT,075033S,DCS,SPIRAEA DBLPLAY R BIGBANG PPAF
OR,075022S,DCS,SPIRAEA DBLPLAY R GOLD PPAF
OR,71222,DCS,SPIRAEA JAP ALPINA
CT,71173,DCS,SPIRAEA X GOLDFLAME
OR,71232,DCS,SPIRAEA X LIMEMOUND R
OR,074685PT,DCS,SYRINGA BLOOMERNG R PUR P20575
CT,72023,DCS,SYRINGA PATULA MISS KIM
CT,406923,DCS,SYRINGA V TINY DANCER TM
OR,28425,DCS,SYRINGA X DECLARATION NA62975
CA,072215PT,EVS,TABERNAEMONTANA FLORE PLENO
GA,12597,CON,THUJA GREEN GIANT
OR,12599,CON,THUJA GREEN GIANT
GA,12599,CON,THUJA GREEN GIANT
OR,73015,CON,THUJA OC EMERALD
CA,066305PT,EVS,TIBOUCHINA URVILLEANA
GA,56232,DCS,VACC BOUNTIFUL BLUE R PP19381
GA,73461,PRN,VERBENA X PURPLE SPREADER TM
OR,74065,DCS,VIB PLI T MARIESI
CT,74065,DCS,VIB PLI T MARIESI
CT,73995,DCS,VIB PLI T SHOSHONI
CT,407205,DCS,VIBURNUM PLI T POPCORN
OR,76081,PRN,VINCA MINOR ATROPURPUREA
OR,07613UT,PRN,VINCA MINOR BOWLES'
OR,76131,PRN,VINCA MINOR BOWLES'
CT,077513S,DCS,WEIGELA FL SPILLED WINE TM PAF
CT,076563S,DCS,WEIGELA FL WINE&ROSES R P10772
CA,76775,VIN,WISTERIA FL TEXAS PURPLE
CT,76815,VIN,WISTERIA FRU AMETHYST FALLS
CA,90152,EVS,YUCCA FIL COLOR GUARD
,,,Totals:
