050611,,,,1,OR,10,Drimys lanceolata                                           ,Mountain Pepper                                             ,EVS,E Shrub,07,2010, $8.30 ,,,,014949340042,591,591,591,10/01/14  ,0,          ,0,          ,, $7.25 , $1.05 
050615,,,,5,OR,5,Drimys lanceolata                                           ,Mountain Pepper                                             ,EVS,E Shrub,07,2010, $28.73 ,,,,014949288559,360,360,360,10/01/14  ,0,          ,0,          ,, $23.50 , $5.23 
031902,,,,2,GA,5,Elaeagnus x ebbingei                                        ,Ebbinge's Silverberry                                       ,EVS,E Shrub,07,    ,,, $15.16 ,,014949366660,0,603,603,09/01/14  ,0,          ,0,          ,, $13.50 , $1.66 
017962,,,,2,OR,5,Erica x darleyensis 'Kramer's Rote'                         ,Kramer's Red Winter Heath                                   ,EVS,E Shrub,06,    , $17.62 ,,,,014949006276,0,467,467,09/15/14  ,0,          ,0,          ,, $15.00 , $2.62 
032071,,,,1,OR,10,Erica x darleyensis 'Mediterranean Pink'                    ,Mediterranean Pink Heath                                    ,EVS,E Shrub,06,    , $8.55 ,,,,014949320716,963,0,0,          ,0,          ,0,          ,, $7.50 , $1.05 
032081,,,,1,OR,10,Erica x darleyensis 'Silberschmelze'                        ,White Bell Heath                                            ,EVS,E Shrub,06,    , $8.55 ,,,,014949320815,290,0,0,          ,0,          ,0,          ,, $7.50 , $1.05 
036181,,,,1,CA,10,Escallonia 'Compakta'                                       ,Compact Escallonia                                          ,EVS,E Shrub,07,    ,, $7.59 ,,,014949210925,0,13,13,11/15/14  ,0,          ,0,          ,, $6.50 , $1.09 
036185,,,,5,OR,5,Escallonia 'Compakta'                                       ,Compact Escallonia                                          ,EVS,E Shrub,07,    , $27.23 ,,,,014949233795,3,0,0,          ,0,          ,0,          ,, $22.00 , $5.23 
050722,,,,2,OR,5,Eucryphia lucida 'Spring Cream'                             ,Variegated Tasmanian Leatherwood                            ,EVS,E Shrub,08,New , $17.62 ,,,,014949306871,0,3319,1503,04/15/15  ,1816,06/01/15  ,0,          ,, $15.00 , $2.62 
033651,,,,1,OR,10,Euonymus fortunei 'Canadale Gold'                           ,Canadale Gold Wintercreeper                                 ,EVS,E Shrub,04,    , $8.05 ,,,,014949336519,0,83,83,10/01/14  ,0,          ,0,          ,, $7.00 , $1.05 
033701,,,,1,GA,10,Euonymus fortunei 'Coloratus'                               ,Purpleleaf Wintercreeper                                    ,EVS,E Shrub,04,    ,,, $6.66 ,,014949337011,0,12,12,01/01/15  ,0,          ,0,          ,, $6.00 , $0.66 
033901,,,,1,CA,10,Euonymus fortunei 'Emerald Gaiety'                          ,Emerald Gaiety Wintercreeper                                ,EVS,E Shrub,05,    , $7.05 , $7.09 ,,,014949339015,904,1756,1756,0,0,0,0,0,, $6.00 , $1.09 
033902,,,,2,CA,5,Euonymus fortunei 'Emerald Gaiety'                          ,Emerald Gaiety Wintercreeper                                ,EVS,E Shrub,05,    , $16.12 , $16.23 ,,,014949339022,636,2453,2453,0,0,0,0,0,, $13.50 , $2.73 
034001,,,,1,OR,10,Euonymus fortunei 'Emerald 'n Gold'                         ,Emerald 'N Gold Wintercreeper                               ,EVS,E Shrub,05,    , $7.05 ,,,,014949340011,0,912,912,10/01/14  ,0,          ,0,          ,, $6.00 , $1.05 
034002,,,,2,CA,5,Euonymus fortunei 'Emerald 'n Gold'                         ,Emerald 'N Gold Wintercreeper                               ,EVS,E Shrub,05,    , $16.12 , $16.23 ,,,014949340028,0,1793,1793,0,0,0,0,0,, $13.50 , $2.73 
019191S,,,,SuperOne TM,CA,10,Euonymus fortunei 'Gold Splash',Gold Splash®  Wintercreeper,EVS,E Shrub,05,2011,, $11.82 ,,,014949015407,0,1,1,11/01/14  ,0,          ,0,          ,, $10.00 , $1.82 
034302,,,,2,OR,5,Euonymus fortunei 'Golden Prince',Golden Prince®  Wintercreeper,EVS,E Shrub,04,    , $16.12 ,,,,014949343029,0,20,20,04/01/15  ,0,          ,0,          ,, $13.50 , $2.62 
034452,,,,2,CA,5,Euonymus fortunei 'Ivory Jade'                              ,Ivory Jade Wintercreeper                                    ,EVS,E Shrub,04,    ,, $16.23 ,,,014949344521,0,417,239,0,178,0,0,0,, $13.50 , $2.73 
034501,,,,1,CA,10,Euonymus fortunei 'Moonshadow'                              ,Moonshadow Wintercreeper                                    ,EVS,E Shrub,04,    , $8.30 , $8.34 ,,,014949345016,0,2907,1684,0,1223,0,0,0,, $7.25 , $1.09 
034502,,,,2,CA,5,Euonymus fortunei 'Moonshadow'                              ,Moonshadow Wintercreeper                                    ,EVS,E Shrub,04,    , $17.12 , $16.73 ,, $14.11 ,014949345023,0,4461,2302,0,2159,0,0,0,, $14.00 , $2.73 
019202,,,,2,OR,5,Euonymus fortunei 'Sunrise' ,Sunrise Wintercreeper                                       ,EVS,E Shrub,04,    , $16.62 ,,,,014949015421,0,45,45,05/01/15  ,0,          ,0,          ,, $14.00 , $2.62 
086152S,,,,SuperTwo,CT,5,Euonymus fortunei 'White Album'               ,White Album™  Euonymus,EVS,E Shrub,05,    ,,,, $18.11 ,014949372746,51,0,0,          ,0,          ,0,          ,, $17.00 , $1.11 
